domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
population,data_raw/population/demographie/projection_regional/TAPOA.xlsx - TAPOA.csv,csv,85,50,151,0.035529,TAPOA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_regional/YAADGA.xlsx - YAADGA.csv,csv,85,50,151,0.035529,YAADGA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Évolution de l’espérance de vie à la naissance.csv,csv,15,5,0,0.0,indicateur | sexe | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/Évolution des  taux de fecondite.csv,csv,56,5,0,0.0,indicateur | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,"data_raw/population/demographie/Évolution des quotients de mortalité infantile, juvénile et infanto-juvénile.csv",csv,36,5,0,0.0,indicateur | rubriques | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/pdi/Effectif des réfugiés au Burkina Faso par région administrative.csv,csv,94,5,0,0.0,indicateur | region | Unit | Date | Value,OK,"Delimiteur detecte: ,"
population,data_raw/population/pdi/IDMC_Internal_Displacement_Conflict-Violence_Disasters.xlsx,xlsx,19,7,0,0.0,ISO3 | Name | Year | Conflict Stock Displacement | Conflict Stock Displacement (Raw) | Conflict Internal Displacements | Conflict Internal Displacements (Raw),OK,Feuille analysee: 1_Displacement_data
population,data_raw/population/pdi/gfx_population-figures_operation-level_2012-2026_population-type.csv,csv,39,4,0,0.0,Year | Operation level | Population type | Population figures,OK,"Delimiteur detecte: ,"
population,data_raw/population/pdi/idps4.xlsx,xlsx,10105,26,163241,0.621326,Source | Pays (destination) | Region (destination) | Province (destination) | Commune (destination) | Ville/village (destination) | Site / Camp | Hommes | Femmes | Enfants de moins de 5 ans | Enfants de plus de 5 ans | Total Enfants | Total Individus | Admin 1 Pcode | Admin 2 Pcode | Admin 3 Pcode | date donnnée |  |  |  |  |  |  |  |  | ,OK,Feuille analysee: Tableau
population,data_raw/population/pdi/pdi-gcorr-burkinafaso-may2025.xlsx,xlsx,154,22,86,0.025384,Date Choc | Choc Year | Choc Month | Choc Day | Incident # | Alerte ID | Localisation du premier déplacement | Zone d’origine | Besoins prioritaires | Sévérité | Type de choc | Déplacement # | Date d’arrivée | Région d’accueil | Commune d’accueil | Villages d’accueil | PDI Ménage | PDI Personne | Hommes | Femmes | Garçons | Filles,OK,Feuille analysee: Incident Data
