indicateur,branche,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,source_fichier,domaine
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2012 T1,158.5,158.5,2012 T1,2012 T1,trimestrielle,2012,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2012 T2,143.1,143.1,2012 T2,2012 T2,trimestrielle,2012,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2012 T3,113.1,113.1,2012 T3,2012 T3,trimestrielle,2012,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2012 T4,130.8,130.8,2012 T4,2012 T4,trimestrielle,2012,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2013 T1,168.4,168.4,2013 T1,2013 T1,trimestrielle,2013,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2013 T2,170.7,170.7,2013 T2,2013 T2,trimestrielle,2013,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2013 T3,146.3,146.3,2013 T3,2013 T3,trimestrielle,2013,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2013 T4,158.8,158.8,2013 T4,2013 T4,trimestrielle,2013,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2014 T1,165.1,165.1,2014 T1,2014 T1,trimestrielle,2014,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2014 T2,168.3,168.3,2014 T2,2014 T2,trimestrielle,2014,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
