indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,branche,trimestre,domaine_d_activit_s,sexe
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2014 T4,985.2,985.2,2014 T4,2014 T4,trimestrielle,2014,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2015 T1,1008.6,1008.6,2015 T1,2015 T1,trimestrielle,2015,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2015 T2,897.5,897.5,2015 T2,2015 T2,trimestrielle,2015,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2015 T3,511.6,511.6,2015 T3,2015 T3,trimestrielle,2015,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2015 T4,866.6,866.6,2015 T4,2015 T4,trimestrielle,2015,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2016 T1,864.7,864.7,2016 T1,2016 T1,trimestrielle,2016,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2016 T2,914.2,914.2,2016 T2,2016 T2,trimestrielle,2016,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2016 T3,1130.5,1130.5,2016 T3,2016 T3,trimestrielle,2016,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2016 T4,1203.4,1203.4,2016 T4,2016 T4,trimestrielle,2016,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2017 T1,1227.3,1227.3,2017 T1,2017 T1,trimestrielle,2017,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2017 T2,1228.1,1228.1,2017 T2,2017 T2,trimestrielle,2017,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2017 T3,1108.9,1108.9,2017 T3,2017 T3,trimestrielle,2017,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2017 T4,1188.1,1188.1,2017 T4,2017 T4,trimestrielle,2017,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
