enregistrement_des_personnes_deplacees_internes,source_onglet,r_gion,total_pdi,pdi_hommes,pdi_femmes,pdi_enfants,pdi_personnes_g_es,pdi_personnes_avec_handicap,source_fichier,domaine
TUY,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LOROUM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LOROUM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LOROUM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
PASSORE,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
