"indicateur","branche","sexe","Unit","Date","Value"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Femme","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Femme","%","2005","0.0457524098455906"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Femme","%","2007","0.02"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Femme","%","2010","0.0151224923397016"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Ensemble","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Ensemble","%","2005","0.0922848433256149"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Ensemble","%","2007","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités des organismes extraterritoriaux","Ensemble","%","2010","0.0203527385052428"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Homme","%","2003","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Homme","%","2005","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Homme","%","2007","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Homme","%","2010","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Femme","%","2003","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Femme","%","2005","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Femme","%","2007","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Femme","%","2010","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Ensemble","%","2003","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Ensemble","%","2005","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Ensemble","%","2007","100"
"Répartition des travailleurs par branches d'activités selon le sexe","Ensemble","Ensemble","%","2010","100"
