indicateur,statut_juridique,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,tranche_d_age,type,rubrique,localit
Nombre et coût de projets financés par type de fonds,,Nombre,2023,76,76,2023,2023,annuelle,2023,Nombre de cout de projets finances.csv,entreprises,,FONADR,Nombre,
Nombre et coût de projets financés par type de fonds,,FCFA,2003,197600000,197600000,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2004,234100000,234100000,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2005,296000000,296000000,2005,2005,annuelle,2005,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2006,288400000,288400000,2006,2006,annuelle,2006,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2007,155000000,155000000,2007,2007,annuelle,2007,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2008,169500000,169500000,2008,2008,annuelle,2008,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2009,160400000,160400000,2009,2009,annuelle,2009,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2010,347500000,347500000,2010,2010,annuelle,2010,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2011,460200000,460200000,2011,2011,annuelle,2011,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2012,184700000,184700000,2012,2012,annuelle,2012,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2013,457700000,457700000,2013,2013,annuelle,2013,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2014,709300000,709300000,2014,2014,annuelle,2014,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2015,283600000,283600000,2015,2015,annuelle,2015,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2016,341800000,341800000,2016,2016,annuelle,2016,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2017,221900000,221900000,2017,2017,annuelle,2017,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2018,181000000,181000000,2018,2018,annuelle,2018,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2019,181600000,181600000,2019,2019,annuelle,2019,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2020,250800000,250800000,2020,2020,annuelle,2020,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
Nombre et coût de projets financés par type de fonds,,FCFA,2022,161900000,161900000,2022,2022,annuelle,2022,Nombre de cout de projets finances.csv,entreprises,,FONADR,Coût,
