indicateur,localit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2016,170,170,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2017,297,297,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2018,230,230,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2019,143,143,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2020,145,145,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2021,186,186,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2022,86,86,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Dori,Nombre,2023,158,158,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2010,35,35,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2011,95,95,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2012,84,84,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2013,94,94,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2014,120,120,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2015,121,121,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2016,185,185,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2017,244,244,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2018,171,171,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2019,131,131,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2020,130,130,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2021,151,151,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2022,129,129,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Gaoua,Nombre,2023,206,206,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2017,113,113,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2018,224,224,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2019,273,273,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2020,311,311,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2021,333,333,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2022,269,269,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Banfora,Nombre,2023,615,615,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2017,104,104,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2018,156,156,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2019,147,147,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2020,196,196,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2021,131,131,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2022,116,116,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Koupèla,Nombre,2023,188,188,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2018,8,8,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2019,117,117,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2020,128,128,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2021,155,155,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2022,75,75,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ziniaré,Nombre,2023,181,181,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2018,42,42,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2019,162,162,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2020,144,144,2020,2020,annuelle,2020,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2021,126,126,2021,2021,annuelle,2021,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2022,138,138,2022,2022,annuelle,2022,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Manga,Nombre,2023,176,176,2023,2023,annuelle,2023,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2010,4570,4570,2010,2010,annuelle,2010,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2011,4949,4949,2011,2011,annuelle,2011,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2012,5928,5928,2012,2012,annuelle,2012,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2013,7180,7180,2013,2013,annuelle,2013,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2014,8561,8561,2014,2014,annuelle,2014,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2015,7564,7564,2015,2015,annuelle,2015,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2016,11661,11661,2016,2016,annuelle,2016,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2017,12609,12609,2017,2017,annuelle,2017,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2018,12511,12511,2018,2018,annuelle,2018,entreprises_enregistres_CEFORE.csv,entreprises
Création des entreprises enregistrées au CEFORE par localité,Ensemble,Nombre,2019,13137,13137,2019,2019,annuelle,2019,entreprises_enregistres_CEFORE.csv,entreprises
