indicateur,rubrique,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Cascades,%,2018,21.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Centre,%,2018,11.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Centre-Est,%,2018,1.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Centre-Nord,%,2018,6.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Centre-Ouest,%,2018,5.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Centre-Sud,%,2018,3.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Est,%,2018,7.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Hauts Bassins,%,2018,9.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Nord,%,2018,4.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Plateau-Central,%,2018,13.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Sahel,%,2018,4.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Sud-Ouest,%,2018,0.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines SANPLAT,Burkina Faso,%,2018,7.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Boucle du Mouhoun,%,2018,56.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Cascades,%,2018,29.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Centre,%,2018,42.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Centre-Est,%,2018,31.9,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Centre-Nord,%,2018,25.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Centre-Ouest,%,2018,37.5,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Centre-Sud,%,2018,19.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Est,%,2018,15.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Hauts Bassins,%,2018,57.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Nord,%,2018,36.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Plateau-Central,%,2018,25.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Sahel,%,2018,24.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Sud-Ouest,%,2018,35.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines dallés simplement,Burkina Faso,%,2018,36.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Boucle du Mouhoun,%,2018,4.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Cascades,%,2018,6.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Centre,%,2018,1.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Centre-Est,%,2018,0.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Centre-Nord,%,2018,3.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Centre-Ouest,%,2018,1.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Centre-Sud,%,2018,5.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Est,%,2018,1.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Hauts Bassins,%,2018,9.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Nord,%,2018,3.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Plateau-Central,%,2018,3.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Sahel,%,2018,4.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Sud-Ouest,%,2018,1.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Fosse rudimentaire/trou ouvert,Burkina Faso,%,2018,3.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Boucle du Mouhoun,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Cascades,%,2018,2.4,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Toilettes publiques,Centre,%,2018,0.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
