indicateur,rubrique,milieu,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Ensemble,%,2003,7.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Ensemble,%,2009,6.7,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Ensemble,%,2014,3.3,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),Ensemble,%,2018,3.3,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu rural,%,2003,5.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu rural,%,2009,8.7,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu rural,%,2014,94.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu urbain,%,2003,94.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu urbain,%,2009,91.3,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Milieu urbain,%,2014,6.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Ensemble,%,2009,100.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),Ensemble,%,2014,100.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
