indicateur,rubriques,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Est,%,2018,51.4,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Nord,%,2003,14.7,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Nord,%,2005,13.0,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Nord,%,2007,21.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Nord,%,2018,52.1,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Ouest,%,2003,22.0,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Ouest,%,2005,32.4,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Ouest,%,2007,34.4,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Ouest,%,2018,48.8,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Sud,%,2003,6.9,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Sud,%,2005,12.8,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Sud,%,2007,18.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Centre-Sud,%,2018,41.9,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Est,%,2003,11.7,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Est,%,2005,19.9,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Est,%,2007,21.3,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Est,%,2018,47.3,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Hauts-Bassins,%,2003,39.6,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Hauts-Bassins,%,2005,46.3,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Hauts-Bassins,%,2007,42.6,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Hauts-Bassins,%,2018,64.6,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Nord,%,2003,19.6,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Nord,%,2005,30.2,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Nord,%,2007,32.4,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Nord,%,2018,47.5,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Plateau Central,%,2003,19.0,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Plateau Central,%,2005,30.7,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Plateau Central,%,2007,28.5,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Plateau Central,%,2018,57.4,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sahel,%,2003,7.7,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sahel,%,2005,17.9,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sahel,%,2007,20.8,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sahel,%,2018,31.0,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sud-Ouest,%,2003,9.3,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sud-Ouest,%,2005,13.2,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sud-Ouest,%,2007,11.9,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Sud-Ouest,%,2018,43.0,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Burkina Faso,%,2003,23.0,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Burkina Faso,%,2005,30.0,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Burkina Faso,%,2007,32.4,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Mobylette,Burkina Faso,%,2018,57.3,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Boucle du Mouhoun,%,2003,0.7,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Boucle du Mouhoun,%,2005,1.0,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Boucle du Mouhoun,%,2007,1.2,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Boucle du Mouhoun,%,2018,1.2,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Cascades,%,2003,1.1,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Cascades,%,2005,1.0,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Cascades,%,2007,2.5,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Cascades,%,2018,1.4,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre,%,2003,12.2,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre,%,2005,14.4,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre,%,2007,13.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre,%,2018,17.1,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Est,%,2003,1.2,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Est,%,2005,3.2,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Est,%,2007,1.6,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Est,%,2018,1.0,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Nord,%,2003,0.8,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Nord,%,2005,1.1,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Nord,%,2007,0.9,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Nord,%,2018,0.8,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Ouest,%,2003,1.5,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Ouest,%,2005,2.2,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Ouest,%,2007,1.1,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Ouest,%,2018,1.2,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Sud,%,2003,0.2,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Sud,%,2005,0.7,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Sud,%,2007,0.7,2007,2007,annuelle,2007,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Centre-Sud,%,2018,0.3,2018,2018,annuelle,2018,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Est,%,2003,0.9,2003,2003,annuelle,2003,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
Pourcentage des ménages disposant de certains biens par région,Voiture,Est,%,2005,1.5,2005,2005,annuelle,2005,Pourcentage des ménages disposant de certains biens par région en 2018.csv,vulnerabilite_menages
