date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
juin 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,82.25,0.2,juin 1992,juin 1992,mensuelle,1992,2,6,wfp_food_prices_bfa.csv,prix
juillet 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,75.25,0.18,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,83.0,0.2,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,66.0,0.16,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,77.75,0.18,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,EST,GOURMA,Fada N'Gourma,cereales et tubercules,mil,KG,observe,detail,XOF,92.5,0.22,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,97.33,0.23,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
juillet 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,62.5,0.15,juillet 1992,juillet 1992,mensuelle,1992,3,7,wfp_food_prices_bfa.csv,prix
aout 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,85.0,0.2,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,CASCADES,COMOÉ,Banfora,cereales et tubercules,mil,KG,observe,detail,XOF,86.0,0.2,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,81.5,0.19,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,68.0,0.16,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,80.0,0.19,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,103.0,0.24,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
aout 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,63.67,0.15,aout 1992,aout 1992,mensuelle,1992,3,8,wfp_food_prices_bfa.csv,prix
