indicateur,r_gion,produits,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,decembre 2024,1213.1,1213.1,decembre 2024,decembre 2024,mensuelle,2024,4,12,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,janvier 2025,1540.61882999705,1540.61882999705,janvier 2025,janvier 2025,mensuelle,2025,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,fevrier 2025,832.593578785984,832.593578785984,fevrier 2025,fevrier 2025,mensuelle,2025,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,mars 2025,650.837404055095,650.837404055095,mars 2025,mars 2025,mensuelle,2025,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,avril 2025,821.421146620325,821.421146620325,avril 2025,avril 2025,mensuelle,2025,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,mai 2025,770.948794159467,770.948794159467,mai 2025,mai 2025,mensuelle,2025,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,juin 2025,809.687844539109,809.687844539109,juin 2025,juin 2025,mensuelle,2025,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,juillet 2025,865.700519313199,865.700519313199,juillet 2025,juillet 2025,mensuelle,2025,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,aout 2025,796.301505554501,796.301505554501,aout 2025,aout 2025,mensuelle,2025,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Feuilles séchées de baobab,FCFA/kg,septembre 2025,788.959650229392,788.959650229392,septembre 2025,septembre 2025,mensuelle,2025,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,janvier 2024,4637.73,4637.73,janvier 2024,janvier 2024,mensuelle,2024,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,fevrier 2024,4609.76,4609.76,fevrier 2024,fevrier 2024,mensuelle,2024,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,mars 2024,5416.67,5416.67,mars 2024,mars 2024,mensuelle,2024,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,avril 2024,5801.99,5801.99,avril 2024,avril 2024,mensuelle,2024,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,mai 2024,1748.09,1748.09,mai 2024,mai 2024,mensuelle,2024,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,juin 2024,1748.09,1748.09,juin 2024,juin 2024,mensuelle,2024,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,juillet 2024,2489.22,2489.22,juillet 2024,juillet 2024,mensuelle,2024,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,aout 2024,2543.35,2543.35,aout 2024,aout 2024,mensuelle,2024,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,septembre 2024,3598.01,3598.01,septembre 2024,septembre 2024,mensuelle,2024,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,novembre 2024,2272.72727272729,2272.72727272729,novembre 2024,novembre 2024,mensuelle,2024,4,11,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,decembre 2024,1679.84,1679.84,decembre 2024,decembre 2024,mensuelle,2024,4,12,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,janvier 2025,1110.26326086628,1110.26326086628,janvier 2025,janvier 2025,mensuelle,2025,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,fevrier 2025,2470.07120579568,2470.07120579568,fevrier 2025,fevrier 2025,mensuelle,2025,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,mars 2025,1340.14066854727,1340.14066854727,mars 2025,mars 2025,mensuelle,2025,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,avril 2025,1663.52026384533,1663.52026384533,avril 2025,avril 2025,mensuelle,2025,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,mai 2025,2479.50727502148,2479.50727502148,mai 2025,mai 2025,mensuelle,2025,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,juin 2025,1519.23445797126,1519.23445797126,juin 2025,juin 2025,mensuelle,2025,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,juillet 2025,1944.95385124267,1944.95385124267,juillet 2025,juillet 2025,mensuelle,2025,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,aout 2025,1794.62447176263,1794.62447176263,aout 2025,aout 2025,mensuelle,2025,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Gombo sec,FCFA/kg,septembre 2025,1982.44480252738,1982.44480252738,septembre 2025,septembre 2025,mensuelle,2025,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Huile d'arachide,FCFA/litre,janvier 2024,950.0,950.0,janvier 2024,janvier 2024,mensuelle,2024,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Huile d'arachide,FCFA/litre,fevrier 2024,950.0,950.0,fevrier 2024,fevrier 2024,mensuelle,2024,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Huile d'arachide,FCFA/litre,mars 2024,950.0,950.0,mars 2024,mars 2024,mensuelle,2024,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Huile d'arachide,FCFA/litre,avril 2024,750.0,750.0,avril 2024,avril 2024,mensuelle,2024,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Huile d'arachide,FCFA/litre,mai 2024,1125.0,1125.0,mai 2024,mai 2024,mensuelle,2024,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
