localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
62,5162.0,2557.0,2605.0,479.0,259.0,220.0,4683.0,2298.0,2385.0,1879.0,979.0,900.0,422.0,209.0,213.0,1457.0,770.0,687.0,7818.0,4129.0,3689.0,6511.0,3495.0,3016.0,1307.0,634.0,673.0,4319.0,2117.0,2202.0,723.0,341.0,382.0,3596.0,1776.0,1820.0,4308.0,2230.0,2078.0,461.0,227.0,2605.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
63,5595.0,2772.0,2823.0,551.0,279.0,272.0,5044.0,2493.0,2551.0,2460.0,1276.0,1184.0,529.0,255.0,274.0,1931.0,1021.0,910.0,7915.0,4181.0,3734.0,6507.0,3497.0,3010.0,1408.0,684.0,724.0,5080.0,2514.0,2566.0,730.0,345.0,385.0,4350.0,2169.0,2181.0,5025.0,2517.0,2508.0,494.0,241.0,2823.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
64,4500.0,2344.0,2156.0,422.0,186.0,236.0,4078.0,2158.0,1920.0,1824.0,986.0,838.0,421.0,206.0,215.0,1403.0,780.0,623.0,6599.0,3479.0,3120.0,5458.0,2955.0,2503.0,1141.0,524.0,617.0,3174.0,1544.0,1630.0,535.0,262.0,273.0,2639.0,1282.0,1357.0,3586.0,1886.0,1700.0,348.0,164.0,2156.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
65,6999.0,3200.0,3799.0,599.0,251.0,348.0,6400.0,2949.0,3451.0,2575.0,1247.0,1328.0,512.0,253.0,259.0,2063.0,994.0,1069.0,9460.0,4678.0,4782.0,7653.0,3912.0,3741.0,1807.0,766.0,1041.0,6801.0,2960.0,3841.0,1125.0,492.0,633.0,5676.0,2468.0,3208.0,6704.0,3060.0,3644.0,687.0,282.0,3799.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
66,3679.0,2049.0,1630.0,342.0,204.0,138.0,3337.0,1845.0,1492.0,1587.0,903.0,684.0,383.0,199.0,184.0,1204.0,704.0,500.0,5301.0,2850.0,2451.0,4369.0,2412.0,1957.0,932.0,438.0,494.0,2930.0,1498.0,1432.0,462.0,226.0,236.0,2468.0,1272.0,1196.0,3524.0,1999.0,1525.0,352.0,192.0,1630.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
67,3816.0,1969.0,1847.0,406.0,177.0,229.0,3410.0,1792.0,1618.0,1588.0,862.0,726.0,373.0,200.0,173.0,1215.0,662.0,553.0,5398.0,2842.0,2556.0,4369.0,2362.0,2007.0,1029.0,480.0,549.0,3286.0,1632.0,1654.0,560.0,252.0,308.0,2726.0,1380.0,1346.0,3627.0,1982.0,1645.0,352.0,170.0,1847.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
68,3215.0,1726.0,1489.0,305.0,143.0,162.0,2910.0,1583.0,1327.0,1280.0,697.0,583.0,269.0,140.0,129.0,1011.0,557.0,454.0,4507.0,2331.0,2176.0,3619.0,1908.0,1711.0,888.0,423.0,465.0,2667.0,1237.0,1430.0,423.0,189.0,234.0,2244.0,1048.0,1196.0,2783.0,1493.0,1290.0,276.0,119.0,1489.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
69,4101.0,2001.0,2100.0,382.0,193.0,189.0,3719.0,1808.0,1911.0,1800.0,951.0,849.0,368.0,190.0,178.0,1432.0,761.0,671.0,5060.0,2555.0,2505.0,3953.0,2060.0,1893.0,1107.0,495.0,612.0,4092.0,1950.0,2142.0,573.0,258.0,315.0,3519.0,1692.0,1827.0,4108.0,2209.0,1899.0,330.0,171.0,2100.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
70,7612.0,3099.0,4513.0,634.0,273.0,361.0,6978.0,2826.0,4152.0,2613.0,1118.0,1495.0,442.0,217.0,225.0,2171.0,901.0,1270.0,8898.0,3846.0,5052.0,6666.0,2985.0,3681.0,2232.0,861.0,1371.0,8886.0,3708.0,5178.0,1457.0,578.0,879.0,7429.0,3130.0,4299.0,9352.0,3978.0,5374.0,796.0,364.0,4513.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
71,2422.0,1293.0,1129.0,227.0,103.0,124.0,2195.0,1190.0,1005.0,959.0,534.0,425.0,219.0,110.0,109.0,740.0,424.0,316.0,3714.0,1961.0,1753.0,2909.0,1553.0,1356.0,805.0,408.0,397.0,2216.0,1221.0,995.0,397.0,188.0,209.0,1819.0,1033.0,786.0,2350.0,1372.0,978.0,197.0,96.0,1129.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
