indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,2,homme,2023,2023,2023,2023,annuelle,21102.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2023,2023,2023,2023,annuelle,19900.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2023,2023,2023,2023,annuelle,41002.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2024,2024,2024,2024,annuelle,21234.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2024,2024,2024,2024,annuelle,20022.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2024,2024,2024,2024,annuelle,41256.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2025,2025,2025,2025,annuelle,21340.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2025,2025,2025,2025,annuelle,20121.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2025,2025,2025,2025,annuelle,41461.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2026,2026,2026,2026,annuelle,21165.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2026,2026,2026,2026,annuelle,19957.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2026,2026,2026,2026,annuelle,41122.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2027,2027,2027,2027,annuelle,20978.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2027,2027,2027,2027,annuelle,19783.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2027,2027,2027,2027,annuelle,40761.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2028,2028,2028,2028,annuelle,21068.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2028,2028,2028,2028,annuelle,19877.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2028,2028,2028,2028,annuelle,40945.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2029,2029,2029,2029,annuelle,21209.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,femme,2029,2029,2029,2029,annuelle,20011.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,ensemble,2029,2029,2029,2029,annuelle,41220.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,2,homme,2030,2030,2030,2030,annuelle,21313.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
