annee,theme,indicateur,rubrique,region,unite,valeur
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Centre-Ouest,%,14.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Centre-Sud,%,26.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Est,%,12.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Hauts-Bassins,%,10.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Nord,%,24.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Plateau Central,%,20.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Sahel,%,12.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Sud-Ouest,%,17.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Burkina Faso,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Boucle du Mouhoun,%,16.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Cascades,%,3.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre,%,4.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre-Est,%,10.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre-Nord,%,4.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre-Ouest,%,7.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre-Sud,%,7.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Est,%,6.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Hauts-Bassins,%,7.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Nord,%,13.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Plateau Central,%,7.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Sahel,%,4.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Sud-Ouest,%,5.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Burkina Faso,%,7.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Boucle du Mouhoun,%,9.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Cascades,%,7.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre,%,2.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Est,%,9.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Nord,%,2.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Ouest,%,6.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Sud,%,13.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Est,%,5.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Hauts-Bassins,%,4.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Nord,%,11.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Plateau Central,%,9.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sahel,%,5.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sud-Ouest,%,7.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,48.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,46.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,40.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,41.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,36.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,42.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,59.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,50.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,66.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,48.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,22.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,20.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,34.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,41.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,9.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,5.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,38.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,62.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,36.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,53.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,58.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,57.0
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,47.0
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,60.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Ouest,%,42.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Ouest,%,39.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Ouest,%,51.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Ouest,%,53.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Sud,%,43.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Sud,%,49.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Sud,%,40.5
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Sud,%,26.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Est,%,61.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Est,%,51.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Est,%,50.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Est,%,45.1
