"indicateur","region","infrastructures","Unit","Date","Value"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Formation Sanitaire Privée","Nombre","2017","10"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Formation Sanitaire Privée","Nombre","2020","20"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Formation Sanitaire Privée","Nombre","2021","20"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Formation Sanitaire Privée","Nombre","2022","22"
"Infrastructures sanitaires par région à partir de 2017","Cascades","0fficines et Dépôts  privés","Nombre","2017","41"
"Infrastructures sanitaires par région à partir de 2017","Cascades","0fficines et Dépôts  privés","Nombre","2018","12"
"Infrastructures sanitaires par région à partir de 2017","Cascades","0fficines et Dépôts  privés","Nombre","2020","71"
"Infrastructures sanitaires par région à partir de 2017","Cascades","0fficines et Dépôts  privés","Nombre","2021","28"
"Infrastructures sanitaires par région à partir de 2017","Cascades","0fficines et Dépôts  privés","Nombre","2022","55"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie de garnison","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie de garnison","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie de garnison","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie/SST","Nombre","2017","4"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie/SST","Nombre","2020","6"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie/SST","Nombre","2021","7"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie/SST","Nombre","2022","8"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Infirmerie/SST","Nombre","2023","9"
"Infrastructures sanitaires par région à partir de 2017","Cascades","Autres (CREN,…)","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2017","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2018","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2019","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2020","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2021","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2022","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Universitaire","Nombre","2023","4"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Hospitalier Régional","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2017","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2018","5"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2019","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2020","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2021","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical avec Antenne chirurgicale","Nombre","2023","2"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2017","15"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2018","41"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2019","17"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2020","16"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2021","16"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2022","19"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre Médical","Nombre","2023","22"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2017","96"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2018","126"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2019","101"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2020","106"
"Infrastructures sanitaires par région à partir de 2017","Centre","Centre de Santé et de Promotion Sociale","Nombre","2021","109"
