"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Komandjoari","Habitants/km2","1985","8.05671227443982"
"Densité par région et province des quatres derniers recensements","Komandjoari","Habitants/km2","1996","10.0107079119572"
"Densité par région et province des quatres derniers recensements","Komandjoari","Habitants/km2","2006","15.7658139996034"
"Densité par région et province des quatres derniers recensements","Komandjoari","Habitants/km2","2019","20.6"
"Densité par région et province des quatres derniers recensements","Kompienga","Habitants/km2","1985","3.40354386967705"
"Densité par région et province des quatres derniers recensements","Kompienga","Habitants/km2","1996","5.82537867962275"
"Densité par région et province des quatres derniers recensements","Kompienga","Habitants/km2","2006","10.841240354387"
"Densité par région et province des quatres derniers recensements","Kompienga","Habitants/km2","2019","16.9"
"Densité par région et province des quatres derniers recensements","Tapoa","Habitants/km2","1985","10.9016607191875"
"Densité par région et province des quatres derniers recensements","Tapoa","Habitants/km2","1996","16.124622563821"
"Densité par région et province des quatres derniers recensements","Tapoa","Habitants/km2","2006","23.4905984079056"
"Densité par région et province des quatres derniers recensements","Tapoa","Habitants/km2","2019","40.8"
"Densité par région et province des quatres derniers recensements","Région des Hauts-Bassins","Habitants/km2","1985","29.3507477409936"
"Densité par région et province des quatres derniers recensements","Région des Hauts-Bassins","Habitants/km2","1996","40.696720988044"
"Densité par région et province des quatres derniers recensements","Région des Hauts-Bassins","Habitants/km2","2006","57.9885569979876"
"Densité par région et province des quatres derniers recensements","Région des Hauts-Bassins","Habitants/km2","2019","88"
"Densité par région et province des quatres derniers recensements","Houet","Habitants/km2","1985","42.6206896551724"
"Densité par région et province des quatres derniers recensements","Houet","Habitants/km2","1996","58.0860772621208"
"Densité par région et province des quatres derniers recensements","Houet","Habitants/km2","2006","82.5728977616455"
"Densité par région et province des quatres derniers recensements","Houet","Habitants/km2","2019","130.8"
"Densité par région et province des quatres derniers recensements","Kenedougou","Habitants/km2","1985","17.4607445632142"
"Densité par région et province des quatres derniers recensements","Kenedougou","Habitants/km2","1996","24.393783020027"
