"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
5364,"tpTelecom_Price_Wholesale_InternationalGateways","Price regulation of access to international gateways",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Access to international gateways",,,,
5354,"tpTelecom_Price_Wholesale_InterconFixedTermination","Price regulation of interconnection: fixed termination services",,,33,"BFA","Burkina Faso","With price control",2020,"","","Interconnection: fixed termination",,,,
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Retail voice",,,,
5363,"tpTelecom_Price_Wholesale_IXP","Price regulation of access to Internet exchange points (IXPs)",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Access to Internet exchange points (IXPs)",,,,
5361,"tpTelecom_Price_Wholesale_LineRental","Price regulation of line rental",,,33,"BFA","Burkina Faso","With price control",2020,"","","Line rental",,,,
20339,"tpTelecom_Price_Wholesale_Bitstream","Price regulation of Bitstream access",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Bitstream access",,,,
5359,"tpTelecom_Price_Wholesale_ULL","Price regulation of unbundled local loop",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Unbundled local loop",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2020,"","","OTT video",,,,
5355,"tpTelecom_Price_Wholesale_InterconMobileOriginatio","Price regulation of interconnection: mobile origination services",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Interconnection: mobile origination",,,,
5340,"tpTelecom_Price_Retail_Mobile_InternationalRoaming","Price regulation of international retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2020,"","","International retail roaming (voice, SMS)",,,,
5339,"tpTelecom_Price_Retail_Mobile_NationalRoaming","Price regulation of national retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2020,"","","National retail roaming (voice, SMS)",,,,
5341,"tpTelecom_Price_Retial_Mobile_InternetAndData","Price regulation of retail Internet access and data services",,,33,"BFA","Burkina Faso","Without price control",2020,"","","Retail Internet access & data",,,,
5361,"tpTelecom_Price_Wholesale_LineRental","Price regulation of line rental",,,33,"BFA","Burkina Faso","With price control",2021,"","","Line rental",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2021,"","","OTT video",,,,
5359,"tpTelecom_Price_Wholesale_ULL","Price regulation of unbundled local loop",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Unbundled local loop",,,,
5364,"tpTelecom_Price_Wholesale_InternationalGateways","Price regulation of access to international gateways",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Access to international gateways",,,,
5339,"tpTelecom_Price_Retail_Mobile_NationalRoaming","Price regulation of national retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2021,"","","National retail roaming (voice, SMS)",,,,
20339,"tpTelecom_Price_Wholesale_Bitstream","Price regulation of Bitstream access",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Bitstream access",,,,
20331,"tpTelecom_Price_Retail_Mobile_CallingCards","Price regulation of retail mobile calling cards",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Retail mobile calling cards",,,,
5358,"tpTelecom_Price_Wholesale_InternationalVoice","Price regulation of international voice roaming",,,33,"BFA","Burkina Faso","Without price control",2021,"","","International voice roaming",,,,
5338,"tpTelecom_Price_Retail_Mobile_SMS","Price regulation of retail SMS",,,33,"BFA","Burkina Faso","Without price control",2021,"","","SMS retail ",,,,
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Retail voice",,,,
20609,"tpTelecom_NationalDataTransit","Price regulation of national data transit",,,33,"BFA","Burkina Faso","Without price control",2021,"","","National data transit",,,,
12661,"tpTelecom_Price_Retail_Mobile_DataRoaming","Price regulation of retail data roaming (Internet connection) services",,,33,"BFA","Burkina Faso","Without price control",2021,"","","Retail data roaming (Internet connection)",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2021,"","","OTT voice and messaging",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2021,"","","Interconnection: mobile termination",,,,
