"indicateur","région","produits","Unit","Date","Value"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Mil (petit mil)1","FCFA/Sac de 100 kg","2025M9","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M1","14500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M2","12000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M3","12250"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M4","12750"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M5","14280"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M6","14280"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M7","13750"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M8","13750"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M9","15000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M11","469.04157598234"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2024M12","500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M1","12247.4487139158"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M2","12500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M3","12500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M4","12500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M5","14500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M6","14500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M7","14374.456511465"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M8","14374.456511465"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz brisé local ou importé","FCFA/Sac de 25 kg","2025M9","14500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M1","500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M2","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M3","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M4","550"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M5","660"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M6","660"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M7","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M8","654.545"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M9","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M11","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2024M12","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M1","600"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M2","648.074069840785"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M3","699.999999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Riz importé","FCFA/kg","2025M4","600"
