date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
1992-09-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,80.5,0.19
1992-09-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,76.75,0.18
1992-09-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,88,0.21
1992-10-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,84,0.2
1992-10-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.5,0.16
1992-10-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,80,0.19
1992-10-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70,0.17
1992-10-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,73.33,0.17
1992-10-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,91,0.22
1992-10-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,80.5,0.19
1992-11-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,47,0.11
1992-11-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,90,0.21
1992-11-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.33,0.16
1992-11-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,64,0.15
1992-11-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78,0.19
1992-11-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65.67,0.16
1992-11-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72,0.17
1992-11-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70,0.17
1992-11-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72.5,0.17
1992-12-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,52,0.12
1992-12-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70.25,0.17
1992-12-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,88.5,0.21
1992-12-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,63.75,0.15
1992-12-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,56.25,0.13
1992-12-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71,0.17
1992-12-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,53,0.13
1992-12-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.67,0.16
1992-12-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,56,0.13
1992-12-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65,0.15
1993-01-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,52.5,0.12
1993-01-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.25,0.16
1993-01-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,84.5,0.2
1993-01-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,51.75,0.12
1993-01-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69.75,0.17
1993-01-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,55.25,0.13
1993-01-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,63,0.15
1993-01-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65,0.15
1993-02-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,33,0.078
1993-02-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,60.25,0.14
1993-02-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,59,0.14
1993-02-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72.5,0.17
1993-02-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,63.33,0.15
1993-02-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69.75,0.17
1993-03-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,46.67,0.11
1993-03-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,62.33,0.15
1993-03-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,86,0.2
1993-03-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65,0.15
1993-03-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,60,0.14
1993-03-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,53,0.13
1993-03-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69.25,0.16
1993-03-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.25,0.16
1993-03-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71.5,0.17
1993-03-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,70,0.17
1993-04-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,48.5,0.12
1993-04-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,62,0.15
1993-04-15,CENTRE-EST,BOULGOU,Tenkodogo,140,11.78,-0.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,62.5,0.15
1993-04-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72.25,0.17
1993-04-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71,0.17
1993-04-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71.75,0.17
1993-04-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,68,0.16
1993-04-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,68.5,0.16
1993-04-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71.67,0.17
1993-05-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,49.75,0.12
1993-05-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,59,0.14
1993-05-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72.25,0.17
1993-05-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,72.33,0.17
1993-05-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71,0.17
1993-05-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,71.67,0.17
1993-05-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,63.75,0.15
1993-06-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,51.75,0.12
1993-06-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,67.5,0.16
1993-06-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,74.75,0.18
1993-06-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,73.25,0.17
1993-06-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,76,0.18
1993-06-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,65.75,0.16
1993-06-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,73,0.17
1993-07-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,60,0.14
1993-07-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,79,0.19
1993-07-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,79.75,0.19
1993-07-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,66.75,0.16
1993-07-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,85,0.2
1993-07-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,76.75,0.18
1993-07-15,SAHEL,SÉNO,Dori,133,14.03,-0.03,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78.5,0.19
1993-08-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,60.33,0.14
1993-08-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78,0.19
1993-08-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,82.67,0.2
1993-08-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,77,0.18
1993-08-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,85,0.2
1993-08-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,79.25,0.19
1993-08-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,83.5,0.2
1993-09-15,BOUCLE DU MOUHOUN,SOUROU,Tougan,141,13.07,-3.07,cereals and tubers,Millet,73,KG,actual,Retail,XOF,55.33,0.13
1993-09-15,CENTRE,KADIOGO,Ouagadougo (Sankaryare),139,12.36,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,83.83,0.2
1993-09-15,CENTRE-NORD,BAM,Kongoussi,137,13.33,-1.53,cereals and tubers,Millet,73,KG,actual,Retail,XOF,74.5,0.18
1993-09-15,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,138,12.25,-2.37,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78.17,0.19
1993-09-15,EST,GOURMA,Fada N'Gourma,134,12.06,0.36,cereals and tubers,Millet,73,KG,actual,Retail,XOF,59.67,0.14
1993-09-15,SAHEL,OUDALAN,Gorom Gorom,135,14.44,-0.24,cereals and tubers,Millet,73,KG,actual,Retail,XOF,69,0.16
1993-09-15,SAHEL,SOUM,Djibo,132,14.1,-1.63,cereals and tubers,Millet,73,KG,actual,Retail,XOF,78,0.19
1993-09-15,SUD-OUEST,BOUGOURIBA,Diebougou,131,10.97,-3.25,cereals and tubers,Millet,73,KG,actual,Retail,XOF,81.67,0.19
1993-10-15,CASCADES,COMOÉ,Banfora,129,10.63,-4.77,cereals and tubers,Millet,73,KG,actual,Retail,XOF,73.75,0.18
