"indicateur","commune","rubrique","Unit","Date","Value"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Balavé","Privé","Nombre","2022","1"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Ensemble","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Public","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Kouka","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Ensemble","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Ensemble","Nombre","2022","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Public","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Public","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Public","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Public","Nombre","2022","2"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Privé","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Privé","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Privé","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Privé","Nombre","2021","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sami","Privé","Nombre","2022","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Ensemble","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Ensemble","Nombre","2019","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Ensemble","Nombre","2020","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Ensemble","Nombre","2021","1"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Ensemble","Nombre","2022","7"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Public","Nombre","2018","0"
"Nombre d'établissements  d'enseignement général, technique et professionnel fermés pour insécurité","Sanaba","Public","Nombre","2019","0"
